AxxSolder V3.0;;;;;;;
Item;Qty;Reference(s);Value;Footprint;Manufacturer_Name;Manufacturer_Part_Number;Manufacturing note
1;6;C1, C5, C6, C12, C14, C19;10u;Capacitor_SMD:C_0805_2012Metric;Murata Electronics;GRM21BR6YA106ME43L;
2;14;C2, C3, C7, C8, C9, C10, C11, C13, C21, C22, C24, C28, C29, C31;100n;Capacitor_SMD:C_0805_2012Metric;Murata Electronics;GRM21BR72A104KAC4L;
3;3;C4, C25, C27;22u;Capacitor_SMD:C_1206_3216Metric;TDK;C2012X6S1C226M125AC;
4;2;C15, C16;1n;Capacitor_SMD:C_0805_2012Metric;Murata Electronics;GRM2165C1H102JA01D;
5;2;C17, C18;22u/35V;Capacitor_SMD:C_1206_3216Metric;TDK;C3216X5R1V226M160AC;
6;2;C20, C30;1u;Capacitor_SMD:C_0805_2012Metric;Murata Electronics;GRM21BC72A105KE01L;
7;1;C23;330u;EMZR500ARA331MJA0G:CAPAE1030X1050N;Chemi-Con;EMZR500ARA331MJA0G;
8;1;C26;75p;Capacitor_SMD:C_0805_2012Metric;Murata Electronics;GRM21A5C2E750FW01D;
9;5;D1, D3, D5, D6, D12;BAT54S;BAT54S,215:SOT95P230X110-3N;Diotec Semiconductor;BAT54S;
10;1;D2;PMEG6020ER;PMEG6020ER,115:PMEG6020ER115;Nexperia;PMEG6020ER,115;
11;1;D4;Waveshare 1.5inch OLED Module;1_5inch-rgb-oled-module_asm-1110:1_5inch-rgb-oled-module_asm-1110;N/A;N/A;Do not purchase, nor assemble
12;1;D7;PMEG10030ELPX;PMEG10030ELPX:SODFL4725X110N;Nexperia;PMEG10030ELPX;
13;1;D8;ESDA25P35-1U1M;ESDA25P35-1U1M:ESDA25P351U1M;STMicroelectronics;ESDA25P35-1U1M;
14;1;D9;SMBJ24CA;SMBJ24CA:DIOM5436X261N;LITTELFUSE;SMBJ24CA;
15;1;D10;ESDA25W;ESDA25W:SOT65P210X110-3N;STMicroelectronics;ESDA25W;
16;1;D11;1N5819HW-7-F;1N5819HW-7-F:SOD3716X145N;Diodes Inc.;1N5819HW-7-F;
17;1;D13;V7NM103-M3_I;V7NM103-M3_I:V7NM103M3I;Vishay;V7NM103-M3/I;
18;1;F2;0154007.DRL;0154100DR;LITTELFUSE;0154007.DRL;
19;1;IC1;LTC4440AHMS8E-5#PBF;LTC4440AHMS8E-5#PBF:SOP65P490X110-9N;Analog Devices;LTC4440AHMS8E-5#PBF;
20;1;IC2;STM32G431KBT6;STM32G431KBT6:QFP80P900X900X160-32N;STMicroelectronics;STM32G431KBT6;
21;1;IC4;OPA2333AIDRBR;OPA2333AIDRBR:SON65P300X300X100-9N-D;Texas Instruments;OPA2333AIDRBR;
22;1;IC5;STM32G431KBT6;Package_DFN_QFN:UFQFPN-32-1EP_5x5mm_P0.5mm_EP3.5x3.5mm;STMicroelectronics;STM32G431KBT6;
23;1;IC6;TPS54302DDCR;TPS54302DDCR:SOT95P280X110-6N;Texas Instruments;TPS54302DDCR;
24;1;IC7;STUSB4500QTR;STUSB4500QTR:QFN50P400X400X100-25N-D;STMicroelectronics;STUSB4500QTR;
25;1;IC8;USBLC6-2P6;USBLC6-2P6:USBLC62P6;STMicroelectronics;USBLC6-2P6;
26;1;J1;Conn_01x07_Male;691243310007:691243310007;Wurth Elektronik;6,9124331001E+11;
27;1;J2;USB_B_Micro;USB3140-30-0230-1-C_REVE1:GCT_USB3140-30-0230-1-C_REVE1;GCT;USB3140-30-0170-0-C;
28;1;J5;USB4105-GF-A-120;USB4105-GF-A:GCT_USB4105-GF-A-120;GCT;USB4105-GF-A-120;
29;1;J6;Conn_01x06_Socket;Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical;Wurth Elektronik;61300611821;
30;1;L1;SRP7028CC-100M;SRP7028CC-100M:INDPM7366X300N;Bourns;SRP7028CC-100M;
31;1;LS1;CMI-9653S-SMT-TR;CMI-9653S-SMT-TR:CMI9653SSMTTR;CUI Devices;CMI-9653S-SMT-TR;
32;1;PS1;LD1117AS33TR;LD1117AS33TR:SOT230P700X190-4N;STMicroelectronics;LD1117AS33TR;
33;1;Q1;STL9P3LLH6;STL9P3LLH6:STL20N6F7;STMicroelectronics;STL9P3LLH6;
34;1;Q2;2N7002NXAKR;2N7002NXAKR:SOT95P230X110-3N;Nexperia;2N7002NXAKR;
35;8;R1, R5, R6, R17, R25, R26, R27, R30;4k7;Resistor_SMD:R_0805_2012Metric;Panasonic;ERJ-6ENF4701V;
36;1;R2;47k;Resistor_SMD:R_0805_2012Metric;Panasonic;ERJ-6ENF4702V;
