"Reference","Value","Manufacturer_Part_Number","Manufacturing comment","Qty"
"C1, C2, C5, C7, C8, C10-C13, C19, C20, C30-C32, C34, C35","10u","GRM188R6YA106MA73J","","16"
"C3, C9, C14-C18, C21-C29, C33","100n","C0603C104J5RACTU","","17"
"C4, C6","1n","C0603C102K3GAC","","2"
"C37","220u","EEV227M035A9MAA","","1"
"D1, D2","BAV199WQ-7","BAV199WQ-7","","2"
"D3, D4","SMF4L24AT1G","SMF4L24AT1G","","2"
"D5-D8","BAT54S","BAT54S","","4"
"D9, D10","PMEG6020ER","PMEG6020ER,115","","2"
"F1","0154007.DR","0154007.DR","","1"
"F2","SF-2410FP100W-2","SF-2410FP100W-2","","1"
"FB1","BLM18HE601SN1D","BLM18HE601SN1D","","1"
"IC1","TLV76733DRVR","TLV76733DRVR","","1"
"IC2","OPA2387DSGT","OPA2387DSGT","","1"
"IC3","LMR54406DBVR","LMR54406DBVR","","1"
"IC4","STM32G431CBT6","STM32G431CBT6","","1"
"IC5","TPD4E1U06DBVR","TPD4E1U06DBVR","","1"
"IC6","STUSB4500QTR","STUSB4500QTR","","1"
"IC7","MAX16171ATA_VY+T","MAX16171ATA/VY+T","","1"
"IC8","LTC4440AHMS8E","LTC4440AHMS8E-5#PBF","","1"
"IC9","INA281A5QDBVRQ1","INA281A5QDBVRQ1","","1"
"J1","USB4110-GF-A","USB4110-GF-A","","1"
"J2","691243110009","691243110009","Do Not Place","1"
"J3","TSW-102-07-T-S","TSW-102-07-T-S","Do Not Place","1"
"J4","61300611821","61300611821","Do Not Place","1"
"J5, J6","TSW-102-07-T-S","TSW-102-07-T-S","Do Not Place","2"
"L1","SRP7028CC-150M","SRP7028CC-150M","","1"
"LS1","CMI-9653S-SMT-TR","CMI-9653S-SMT-TR","","1"
"Q1","STL9P3LLH6","STL9P3LLH6","","1"
"Q2","STL10N3LLH5","STL10N3LLH5","","1"
"Q3","2N7002NXAKR","2N7002NXAKR","","1"
"R1, R5, R14, R17","1k5","ERJ-H3ED1501V","","4"
"R2, R7-R9","360k","ERJ-3RED3603V","","4"
"R3, R10","220k","ERJ-3RED2203V","","2"
"R4, R6, R18-R20, R22, R23, R25-R33, R35-R38","4k7","ERJ-3RBD4701V","","20"
"R11, R12, R15, R21, R24","22k","ERJ-UP3J223V","","5"
"R13, R34","100","ERJ-P03F1000V","","2"
"R42","5m","WSLP25125L000FEA","","1"
"R44","1M","ERJ-6GEYJ105V","","1"
"R45","100m","ERJ-6DSFR10V","","1"
"S1-S3","ADTSM644RVTR","ADTSM644RVTR","","3"
"U1","~","4311","Do Not Place","1"
"U2","PEC11J-9215F-S0015","PEC11J-9215F-S0015","","1"
"U3","BSC014N04LS","BSC014N04LSATMA1","","1"
