"Source:","C:\Users\Axel\Desktop\AxxSolder\PCB\AxxSolder\AxxSolder.kicad_sch"
"Date:","2023-08-26 20:59:03"
"Tool:","Eeschema (6.0.10)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","82"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Arrow Part Number","Arrow Price/Stock","Description","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","part_id"
"","","C1","10u","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","","",""
"","","C2","100n","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","","",""
"","","C3","100n","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","","",""
"","","C4","22u","Device:C_Small","Capacitor_SMD:C_1206_3216Metric","~","","","","","","","","",""
"","","C5","100n","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","","",""
"","","C6","10u","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","","",""
"","","C7","100n","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","","",""
"","","C8","100n","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","","",""
"","","C9","100n","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","","",""
"","","C10","100n","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","","",""
"","","C11","100n","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","","",""
"","","C12","10u","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","","",""
"","","C13","100n","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","","",""
"","","C14","10u","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","","",""
"","","C15","1n","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","","",""
"","","C16","1n","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","","",""
"","","C17","22u","Device:C_Small","Capacitor_SMD:C_1206_3216Metric","~","","","","","","","","",""
"","","C18","22u","Device:C_Small","Capacitor_SMD:C_1206_3216Metric","~","","","","","","","","",""
"","","C19","10u","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","","",""
"","","C20","100n","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","","",""
"","","C21","100n","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","","",""
"","","C22","100n","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","","",""
